value,variable
125.019,enhanced
125.984,enhanced
126.716,enhanced
126.845,enhanced
127.047,enhanced
127.362,enhanced
127.734,enhanced
128.048,enhanced
128.123,enhanced
128.748,enhanced
128.799,enhanced
130.7,enhanced
131.403,enhanced
131.46,enhanced
131.821,enhanced
132.284,enhanced
132.78,enhanced
133.1,enhanced
133.103,enhanced
133.493,enhanced
133.524,enhanced
133.846,enhanced
133.86,enhanced
134.09,enhanced
136.394,enhanced
138.337,enhanced
138.407,enhanced
138.813,enhanced
138.921,enhanced
139.088,enhanced
139.965,enhanced
141.447,enhanced
143.523,enhanced
146.165,enhanced
146.175,enhanced
146.855,enhanced
147.015,enhanced
147.341,enhanced
147.804,enhanced
147.942,enhanced
148.282,enhanced
148.697,enhanced
148.724,enhanced
149.127,enhanced
149.21,enhanced
149.286,enhanced
150.075,enhanced
150.108,enhanced
150.265,enhanced
150.541,enhanced
151.468,enhanced
151.555,enhanced
153.39,enhanced
153.925,enhanced
154.829,enhanced
154.914,enhanced
155.063,enhanced
155.862,enhanced
156.543,enhanced
156.595,enhanced
156.986,enhanced
158.423,enhanced
158.633,enhanced
159.327,enhanced
159.522,enhanced
159.76,enhanced
160.277,enhanced
160.736,enhanced
162.047,enhanced
162.37,enhanced
162.767,enhanced
162.977,enhanced
163.217,enhanced
164.495,enhanced
164.63,enhanced
164.906,enhanced
165.069,enhanced
165.23,enhanced
165.39,enhanced
165.763,enhanced
166.038,enhanced
166.654,enhanced
167.562,enhanced
167.886,enhanced
168.433,enhanced
170.375,enhanced
171.504,enhanced
171.998,enhanced
172.417,enhanced
172.586,enhanced
173.019,enhanced
173.39,enhanced
174.189,enhanced
174.569,enhanced
175.009,enhanced
175.346,enhanced
175.554,enhanced
175.833,enhanced
177.569,enhanced
177.989,enhanced
178.078,enhanced
178.279,enhanced
179.598,enhanced
181.254,enhanced
182.648,enhanced
186.327,enhanced
186.346,enhanced
186.499,enhanced
186.674,enhanced
187.982,enhanced
188.212,enhanced
188.487,enhanced
188.798,enhanced
188.889,enhanced
190.003,enhanced
190.387,enhanced
190.525,enhanced
191.381,enhanced
191.789,enhanced
192.621,enhanced
192.836,enhanced
193.38,enhanced
193.943,enhanced
194.144,enhanced
194.213,enhanced
196.411,enhanced
197.696,enhanced
197.846,enhanced
198.228,enhanced
198.247,enhanced
198.907,enhanced
199.515,enhanced
202.364,enhanced
202.785,enhanced
203.557,enhanced
203.831,enhanced
203.945,enhanced
204.314,enhanced
204.402,enhanced
205.329,enhanced
205.381,enhanced
205.519,enhanced
205.554,enhanced
206.292,enhanced
206.398,enhanced
207.538,enhanced
207.8,enhanced
207.939,enhanced
207.998,enhanced
208.793,enhanced
209.047,enhanced
210.19,enhanced
210.78,enhanced
210.945,enhanced
211.486,enhanced
213.246,enhanced
213.746,enhanced
214.142,enhanced
214.181,enhanced
214.414,enhanced
214.769,enhanced
215.468,enhanced
215.716,enhanced
216.628,enhanced
217.258,enhanced
217.453,enhanced
217.903,enhanced
217.926,enhanced
218.195,enhanced
218.493,enhanced
219.301,enhanced
219.344,enhanced
220.106,enhanced
221.081,enhanced
221.313,enhanced
223.471,enhanced
226.445,enhanced
228.535,enhanced
228.54,enhanced
229.055,enhanced
231.22,enhanced
